	sequences per sample	iteration	ASIM94	ASIM88	ASIM3	ASIM4	ASIM20	ASIM91	ASIM18	ASIM89	ASIM86	ASIM24	ASIM85	ASIM90	ASIM92	ASIM12	ASIM1	ASIM87	ASIM14	ASIM8	ASIM25	ASIM2	ASIM93	ASIM13	ASIM23	ASIM15	ASIM10	ASIM16	ASIM9	ASIM11	ASIM17	ASIM26	ASIM21	ASIM7	ASIM6	ASIM5	ASIM22	ASIM19
alpha_rarefaction_1250_6.txt	1250	6	187.272727273	230.666666667	379.772727273	338.454545455	56.0	278.157894737	94.0	281.625	172.454545455	112.5	195.071428571	240.428571429	294.05	328.5	342.4375	284.157894737	73.0	101.5	194.142857143	300.0	210.157894737	51.0	52.0	84.0	59.0	66.5	52.3333333333	77.5	41.0	174.142857143	115.0	140.5	134.0	71.75	127.0	101.5
alpha_rarefaction_1250_7.txt	1250	7	164.0	429.0	308.84	382.714285714	54.0	244.0	60.0	256.333333333	224.526315789	64.0	215.071428571	220.647058824	280.352941176	154.75	321.25	290.352941176	176.0	32.75	188.0	290.714285714	234.090909091	72.0	58.0	28.0	216.0	84.0	58.0	76.5	24.0	206.428571429	49.0	100.0	67.6666666667	82.5	111.0	74.5
alpha_rarefaction_1250_8.txt	1250	8	131.5	213.454545455	367.666666667	394.291666667	101.0	200.75	152.0	230.055555556	218.235294118	237.0	179.0	242.3	359.4	99.0	422.571428571	276.545454545	38.5	83.0	284.6	228.0	193.176470588	51.0	38.5	307.0	77.0	22.0	45.5	67.0	111.0	91.0666666667	49.0	135.0	73.0	241.0	67.5	52.0
alpha_rarefaction_1250_9.txt	1250	9	157.0	199.142857143	328.105263158	407.217391304	56.0	298.076923077	146.5	286.928571429	189.0	49.0	215.3125	276.75	295.333333333	58.5	434.0	249.368421053	97.0	25.3333333333	131.75	298.6	205.052631579	66.5	58.0	156.5	101.5	98.0	24.5	64.6666666667	39.5	120.0	73.75	80.2	131.666666667	157.5	142.0	46.5
alpha_rarefaction_1500_0.txt	1500	0	162.352941176	242.12	413.8	447.888888889	179.0	330.0	98.25	263.541666667	245.214285714	163.0	228.235294118	245.352941176	351.473684211	144.5	357.352941176	291.052631579	52.3333333333	160.0	396.5	258.214285714	256.5	61.0	50.0	58.0	46.5	46.5	144.0	144.333333333	112.5	110.461538462	80.5	97.25	144.0	210.5	332.0	83.0
alpha_rarefaction_1500_1.txt	1500	1	145.4	235.038461538	310.75	349.230769231	128.0	291.045454545	77.1666666667	296.3125	231.666666667	109.0	341.0	324.5	328.105263158	119.857142857	273.954545455	299.166666667	114.333333333	111.5	185.75	203.526315789	181.5	238.0	125.0	92.0	84.0	100.0	111.0	196.0	74.5	170.0	78.5	289.0	125.0	96.0	76.0	83.6
alpha_rarefaction_1500_2.txt	1500	2	161.5625	224.588235294	408.789473684	324.7	79.0	240.473684211	86.0	266.105263158	240.043478261	183.0	204.714285714	299.235294118	264.789473684	355.0	281.25	270.333333333	51.0	84.0	200.125	234.473684211	198.052631579	92.0	71.3333333333	218.0	60.0	112.0	47.0	243.0	42.2	234.0	78.5	62.6666666667	87.0	104.5	121.0	196.0
alpha_rarefaction_1500_3.txt	1500	3	207.0	204.222222222	470.315789474	391.037037037	161.0	235.066666667	184.0	242.916666667	163.555555556	182.0	236.1875	237.0	279.714285714	116.333333333	357.217391304	269.4	216.0	111.5	530.0	336.0	216.071428571	61.0	72.3333333333	239.0	71.3333333333	34.0	52.0	227.0	52.0	107.375	241.0	85.4285714286	143.0	84.6	112.5	71.3333333333
alpha_rarefaction_1500_4.txt	1500	4	177.0	277.789473684	384.55	532.0	93.3333333333	367.4	109.0	294.045454545	207.384615385	38.75	206.588235294	307.461538462	271.526315789	143.0	273.052631579	299.0	84.0	112.0	167.428571429	346.5	257.071428571	28.0	113.5	116.25	92.3333333333	44.5	52.0	133.5	99.0	108.75	136.0	74.5	101.75	152.0	40.5	50.25
alpha_rarefaction_1500_5.txt	1500	5	229.090909091	243.5	356.0	431.2	309.0	252.12	135.0	290.0	260.0	81.0	229.235294118	317.875	277.714285714	98.0	376.235294118	283.75	34.0	33.0	283.142857143	242.461538462	302.272727273	177.0	38.2	122.0	135.0	134.0	75.5	130.0	237.0	132.3	62.0	57.1111111111	478.0	115.6	40.5	50.25
alpha_rarefaction_1500_6.txt	1500	6	165.0	224.444444444	618.615384615	496.785714286	100.0	259.615384615	99.25	219.142857143	261.555555556	142.333333333	372.833333333	286.3125	299.882352941	109.142857143	289.05	305.333333333	122.0	169.0	129.0	240.333333333	295.052631579	42.0	136.0	111.5	177.0	42.0	66.5	115.6	108.0	192.6	48.0	57.0	167.0	127.0	77.0	112.5
alpha_rarefaction_1500_7.txt	1500	7	324.0	239.3125	462.4	667.333333333	84.0	289.636363636	163.0	293.052631579	245.0	145.5	225.789473684	424.272727273	340.136363636	152.75	488.615384615	271.583333333	197.0	77.5	563.25	206.0	295.235294118	42.0	91.3333333333	283.0	66.5	74.5	111.5	165.0	77.0	187.25	138.0	55.2	139.111111111	96.25	111.0	77.0
alpha_rarefaction_1500_8.txt	1500	8	220.272727273	268.260869565	465.176470588	328.275862069	197.5	227.636363636	335.0	356.058823529	221.25	100.0	228.235294118	277.571428571	198.44	271.25	295.0	275.0	74.5	59.0	153.666666667	366.272727273	276.214285714	59.0	67.0	54.3333333333	61.0	61.0	51.0	256.5	91.3333333333	97.5	148.5	91.2	92.875	127.666666667	156.5	78.0
alpha_rarefaction_1500_9.txt	1500	9	191.5	276.714285714	327.714285714	423.103448276	198.0	362.0	308.0	310.8125	269.0	69.5	262.166666667	229.647058824	264.0	292.0	354.045454545	214.476190476	84.0	52.0	320.5	294.166666667	234.75	74.5	53.3333333333	77.0	133.0	101.5	64.0	91.75	94.0	137.0	94.3333333333	55.0	91.4285714286	104.0	37.3333333333	126.0
alpha_rarefaction_1750_0.txt	1750	0	179.153846154	399.8125	401.5	585.0	71.0	259.777777778	106.0	289.103448276	227.157894737	42.5	265.058823529	204.545454545	316.913043478	115.428571429	302.3	218.384615385	61.0	33.0	161.5	305.5	207.454545455	40.5	136.0	39.6	141.333333333	77.0	19.75	187.0	52.3333333333	132.363636364	73.75	80.2	89.0	109.0	67.5	68.5
alpha_rarefaction_1750_1.txt	1750	1	184.157894737	223.076923077	422.666666667	507.538461538	127.0	312.285714286	135.0	234.55	297.0	116.333333333	223.652173913	318.125	356.041666667	225.0	368.0	297.0	75.5	110.5	181.0	326.0	376.545454545	37.3333333333	52.6666666667	134.0	133.0	133.0	178.0	178.0	64.0	141.6875	60.0	98.5	131.0	360.0	59.0	157.5
alpha_rarefaction_1750_2.txt	1750	2	154.2	284.12	484.136363636	511.5	49.0	309.25	132.5	342.473684211	326.571428571	60.0	236.545454545	273.0	259.730769231	123.909090909	436.176470588	291.5	111.5	209.5	238.75	239.454545455	220.5	238.0	110.0	71.75	42.0	34.75	64.0	108.0	58.0	138.230769231	137.0	59.0	117.0	198.75	102.5	99.0
alpha_rarefaction_1750_3.txt	1750	3	181.0	273.5	364.535714286	504.0	154.0	261.954545455	104.0	318.681818182	239.0	79.2	211.5	238.75	287.315789474	422.5	429.375	297.928571429	84.0	33.75	216.1	304.6875	296.882352941	160.0	118.333333333	75.5	134.0	51.3333333333	111.0	151.75	62.0	124.0	125.0	245.333333333	103.6	109.2	113.5	159.0
alpha_rarefaction_1750_4.txt	1750	4	138.052631579	273.37037037	449.555555556	488.434782609	92.3333333333	322.2	141.5	321.047619048	260.176470588	123.75	300.4	341.571428571	230.37037037	92.75	372.391304348	342.5	53.0	260.0	149.571428571	242.25	316.571428571	127.0	114.5	68.5	53.0	50.25	48.0	95.3333333333	84.0	128.909090909	161.5	84.8571428571	155.166666667	67.0	112.5	46.0
alpha_rarefaction_1750_5.txt	1750	5	199.25	273.0	381.115384615	584.285714286	147.5	215.096774194	74.3333333333	295.0	236.545454545	158.5	270.526315789	237.5	239.090909091	212.0	329.807692308	327.125	76.0	21.25	254.0	253.058823529	246.555555556	66.5	140.5	86.0	101.0	217.0	83.0	62.6	42.5	141.75	148.5	122.2	131.375	93.1666666667	441.0	61.0
alpha_rarefaction_1750_6.txt	1750	6	276.142857143	321.333333333	488.75	455.615384615	135.0	437.153846154	98.0	306.272727273	237.8	135.0	228.8	335.055555556	334.928571429	135.142857143	392.315789474	305.0	238.0	133.0	105.583333333	221.0	317.769230769	133.0	125.0	284.0	66.25	157.5	45.75	165.0	56.0	129.4375	137.0	121.2	148.5	126.2	93.0	112.5
alpha_rarefaction_1750_7.txt	1750	7	185.875	248.576923077	412.64	384.027777778	284.0	259.785714286	227.0	315.0	241.916666667	89.2	290.0	320.066666667	316.038461538	132.142857143	481.055555556	331.235294118	73.0	92.3333333333	293.0	299.555555556	189.9	83.0	128.0	125.0	77.5	92.0	76.0	308.0	125.0	169.0	72.3333333333	234.0	124.857142857	157.2	218.0	100.0
